8378304	6709556	9798013	8198075	3025836
8282509	9178520	471052	3730219	8101319
9809168	2522271	9219748	4890194	4286986
2722347	8760642	5845654	7415102	9786650
2580272	2984467	8203690	12651	2927670
1049125	5509160	7618920	6872029	2118600
2770968	2781802	7056488	184291	9638234
6537131	3783439	7365239	4175196	504427
8404380	9607871	6968123	8191773	6983079
9641516	3235287	7988319	5209416	4675085
9377964	788452	2180951	8185286	2733558
8708654	8997879	4232953	794327	5644035
372506	8457052	2415254	867409	8613749
7967909	8094831	3812451	3011974	5284386
9267293	7812469	3349099	3445064	5322656
1295041	5854542	6894691	2895513	6101061
467456	5586463	1713607	1302736	8370372
9015217	8486715	26375	2433939	1715588
4242636	9563853	4107252	7765982	716536
8122520	9683706	4264031	9276684	1309163
7803627	31742	7829408	2655363	4682152
3959264	4515548	4765476	8954910	8910201
7063877	6264241	3865683	2473383	4226993
8073342	1840758	9433899	4940195	6625527
7353687	1684795	4123337	7545720	4184611
9507985	6185008	3335408	1749603	1769189
4383883	4769329	5006914	286050	2724541
5095985	2993108	6531089	6024819	3120453
376	4803	8032	1187	3904
3613	5954	1770	9165	7029
4917	6609	3024	2928	1289
2032	296	9935	6675	4092
2160	9573	3307	3864	5957
6054	6420	3563	3655	9375
3976	347	3625	9141	9364
6818	9055	453	8406	7475
2939	6683	5865	313	3190
1696	8082	1185	3170	2383
3731	5009	4494	8318	9479
2906	6148	4843	2844	4421
8139	3492	7811	5908	415
305	7868	4854	8341	333
8273	7246	1843	4970	1417
5453	5477	6882	5935	3090
4950	6101	6740	3591	3615
7838	173	4797	5504	123
4212	125	5554	5081	635
5723	1129	7377	3670	9194
6904	9958	441	2356	3200
1058	3458	4947	4822	4593
4346	2374	2827	6028	33
4266	89	700	9812	4087
1869	7955	2108	5468	9886
9743	8966	9334	2072	4564
6286	2342	563	9341	3928
1772	8758	4309	3637	9965
7331	5293	2132	383	4211
7326	4198	9345	8992	3712
4649	690	7249	8862	8951
5075	270	6106	4693	3550
6005	9846	5159	4182	9720
84	5732	1973	9250	4065
4426	9408	6598	3472	5674
7798	6696	996	99	4872
1639	2695	1899	5279	2705
710	8430	3872	8869	619
6852	3310	1608	3774	4316
9449	4849	2440	4438	697
1551	5044	392	5451	6206
6275	5342	9805	6488	1205
43	6733	969	9330	3002
2794	5065	2006	9580	272
4664	8533	3410	2851	3049
5544	3632	3286	3336	389
5046	6500	6076	5699	400
3426	5319	3490	2785	6401
8365	1943	6412	5994	818
7534	8092	7521	1978	2617
376	7076	691	2634	1389
